Label,link
Hannah Abbott,Hannah_Abbott
Ludo Bagman,Ludo_Bagman
Bathilda Bagshot,Bathilda_Bagshot
Katie Bell,Katie_Bell
Cuthbert Binns,Cuthbert_Binns
Regulus Black,Regulus_Black
Sirius Black,Sirius_Black
Amelia Bones,Amelia_Bones
Susan Bones,Susan_Bones
Terry Boot,Terry_Boot
Lavender Brown,Lavender_Brown
Millicent Bulstrode,Millicent_Bulstrode
Charity Burbage,Charity_Burbage
Frank Bryce,Frank_Bryce
Alecto Carrow,Alecto_Carrow
Amycus Carrow,Amycus_Carrow
Reginald Cattermole,Reginald_Cattermole
Mary Cattermole,Mary_Cattermole
Cho Chang,Cho_Chang
Penelope Clearwater,Penelope_Clearwater
Michael Corner,Michael_Corner
"Vincent Crabbe, Sr.",Crabbe
Vincent Crabbe,Vincent_Crabbe
Colin Creevey,Colin_Creevey
Dirk Cresswell,Dirk_Cresswell
Barty Crouch Sr.,Bartemius_Crouch_Sr.
Barty Crouch Jr.,Bartemius_Crouch_Jr.
Fleur Delacour,Fleur_Delacour
Gabrielle Delacour,Gabrielle_Delacour
Dedalus Diggle,Dedalus_Diggle
Amos Diggory,Amos_Diggory
Cedric Diggory,Cedric_Diggory
Elphias Doge,Elphias_Doge
Antonin Dolohov,Antonin_Dolohov
Aberforth Dumbledore,Aberforth_Dumbledore
Albus Dumbledore,Albus_Dumbledore
Ariana Dumbledore,Ariana_Dumbledore
Kendra Dumbledore,Kendra_Dumbledore
Percival Dumbledore,Percival_Dumbledore
Dudley Dursley,Dudley_Dursley
Majorie Dursley,Marge
Petunia Dursley,Petunia_Dursley
Vernon Dursley,Vernon_Dursley
Marietta Edgecombe,Marietta_Edgecombe
Everard,Everard
Arabella Figg,Arabella_Figg
Argus Filch,Argus_Filch
Justin Finch-Fletchley,Justin_Finch-Fletchley
Seamus Finnigan,Seamus_Finnigan
Nicolas Flamel,Nicolas_Flamel
Mundungus Fletcher,Mundungus_Fletcher
Filius Flitwick,Filius_Flitwick
Cornelius Fudge,Cornelius_Fudge
Marvolo Gaunt,Marvolo_Gaunt
Merope Gaune,Merope_Gaunt
Morfin Gaunt,Morfin_Gaunt
Anthony Goldstein,Anthony_Goldstein
